BEAMS
BinSize:0.625,Temperature:39.500K,Field:0.000G,Sample:nano-Mn3O4,Orientation:powder,NumBins:16384,NumHists:5,RunNumber:7387,Title:nano-Mn3O4 zero field
Forward,Backward,Up,Down,Right
1093,1773,2233,2053,363
1147,1779,2209,2011,351
1130,1758,2272,2010,353
1145,1837,2262,2090,352
1229,1842,2233,2088,370
1196,1743,2261,2034,339
1174,1766,2259,2111,357
1235,1814,2231,2048,356
1140,1778,2232,2122,340
1135,1704,2220,2009,384
1154,1774,2218,2009,421
1186,1757,2159,2071,402
1181,1741,2185,2054,327
1198,1880,2259,1999,354
1181,1846,2206,2045,368
1181,1858,2232,2064,357
1208,1836,2250,2062,351
1177,1838,2129,2052,350
1161,1766,2311,2077,368
1207,1817,2150,1962,297
1173,1776,2255,2126,320
1162,1725,2127,2027,347
1189,1811,2157,2076,320
1173,1796,2325,1977,325
1188,1700,2222,2116,368
1191,1743,2195,2106,369
1214,1789,2213,2111,355
1137,1761,2188,2062,343
1227,1782,2189,2025,384
1194,1751,2232,1985,378
1255,1858,2190,2025,353
1174,1805,2234,2035,367
1195,1720,2165,2037,377
1120,1747,2309,2052,339
1148,1818,2311,2030,388
1167,1715,2221,1988,363
1231,1751,2238,2045,335
1184,1789,2236,2077,379
1239,1716,2200,2044,365
1146,1829,2107,2050,369
1220,1706,2175,2055,331
1166,1807,2184,1970,363
1219,1793,2168,2087,361
1190,1847,2176,2153,344
1255,1738,2203,2047,339
1179,1723,2159,1985,350
1174,1743,2225,2033,402
1242,1770,2180,1990,349
1203,1774,2300,1996,354
1165,1825,2203,2073,359
1210,1792,2174,2064,370
1278,1736,2207,2086,320
1220,1738,2175,2126,358
1132,1793,2276,2073,372
1192,1765,2236,2148,376
1269,1721,2188,2069,319
1134,1781,2195,2089,360
1198,1751,2245,2035,375
1191,1754,2190,2066,344
1146,1769,2131,2049,355
1201,1734,2210,1999,382
1196,1766,2169,1988,359
1198,1671,2250,1957,382
1117,1640,2189,2042,367
1196,1727,2187,2038,343
1252,1761,2092,2064,335
1150,1775,2182,2108,354
1230,1846,2235,2098,331
1173,1748,2104,2083,375
1260,1808,2195,2031,361
1266,1789,2187,2061,346
1160,1735,2202,2006,361
1200,1731,2178,1984,353
1248,1761,2230,1996,355
1224,1719,2181,2105,356
1232,1741,2269,2057,312
1225,1690,2180,2006,370
1263,1718,2129,2024,345
1216,1787,2124,1997,334
1221,1754,2128,2004,310
1175,1699,2148,2049,346
1162,1724,2113,2023,324
1248,1705,2165,2021,348
1188,1717,2142,2095,348
1227,1715,2202,2083,356
1185,1719,2214,1985,349
1185,1697,2254,2056,372
1192,1786,2260,2034,337
1181,1694,2176,2006,392
1216,1786,2188,2110,340
1211,1761,2135,1953,327
